cat_type,category,subcategory,litres,netsales,fy_qtr
Spirits,Whisky,Blended Malt Scotch Whisky,3104,228830,FY2021Q1
Spirits,Whisky,Blended Malt Scotch Whisky,2455,163772,FY2021Q2
Spirits,Whisky,Blended Malt Scotch Whisky,4258,297439,FY2021Q3
Spirits,Whisky,Blended Scotch Whisky,296607,9667547,FY2020Q3
Spirits,Whisky,Blended Scotch Whisky,253533,7488015,FY2020Q4
Spirits,Whisky,Blended Scotch Whisky,264215,7916476,FY2021Q1
Spirits,Whisky,Blended Scotch Whisky,228528,6972812,FY2021Q2
Spirits,Whisky,Blended Scotch Whisky,315250,10350671,FY2021Q3
Spirits,Whisky,Bourbon Whiskey,133299,5366838,FY2020Q3
Spirits,Whisky,Bourbon Whiskey,105811,4092620,FY2020Q4
Spirits,Whisky,Bourbon Whiskey,114315,4396686,FY2021Q1
Spirits,Whisky,Bourbon Whiskey,110203,4249826,FY2021Q2
Spirits,Whisky,Bourbon Whiskey,158453,6623323,FY2021Q3
Spirits,Whisky,Canadian Whisky,1338466,34648372,FY2020Q3
Spirits,Whisky,Canadian Whisky,1022988,26169842,FY2020Q4
Spirits,Whisky,Canadian Whisky,1195118,30794521,FY2021Q1
Spirits,Whisky,Canadian Whisky,1080517,28221535,FY2021Q2
Spirits,Whisky,Canadian Whisky,1388222,36699362,FY2021Q3
Spirits,Whisky,Flavoured Whisky,12408,360617,FY2020Q3
Spirits,Whisky,Flavoured Whisky,1996,58451,FY2020Q4
Spirits,Whisky,Flavoured Whisky,1791,50787,FY2021Q1
Spirits,Whisky,Flavoured Whisky,9570,271651,FY2021Q2
Spirits,Whisky,Flavoured Whisky,15887,460659,FY2021Q3
Spirits,Whisky,Irish Whiskey,159335,5910416,FY2020Q3
Spirits,Whisky,Irish Whiskey,141076,5168852,FY2020Q4
Spirits,Whisky,Irish Whiskey,99621,3831866,FY2021Q1
Spirits,Whisky,Irish Whiskey,115395,4289107,FY2021Q2
Spirits,Whisky,Irish Whiskey,173446,6826775,FY2021Q3
Spirits,Whisky,Other Country Whisky,16166,1399644,FY2020Q3
Spirits,Whisky,Other Country Whisky,14352,1230819,FY2020Q4
Spirits,Whisky,Other Country Whisky,13020,980632,FY2021Q1
Spirits,Whisky,Other Country Whisky,14287,1210872,FY2021Q2
Spirits,Whisky,Other Country Whisky,23103,1985335,FY2021Q3
Spirits,Whisky,Single Malt Scotch Whisky,192675,16331884,FY2020Q3
Spirits,Whisky,Single Malt Scotch Whisky,110898,8749041,FY2020Q4
Spirits,Whisky,Single Malt Scotch Whisky,131796,9921108,FY2021Q1
Spirits,Whisky,Single Malt Scotch Whisky,112743,8913831,FY2021Q2
Spirits,Whisky,Single Malt Scotch Whisky,231565,20265769,FY2021Q3
Wine,Argentina Wine,Argentina Red Wine,622752,9004285,FY2020Q3
Wine,Argentina Wine,Argentina Red Wine,519664,7347225,FY2020Q4
Wine,Argentina Wine,Argentina Red Wine,464864,6527365,FY2021Q1
Wine,Argentina Wine,Argentina Red Wine,479912,6728099,FY2021Q2
Wine,Argentina Wine,Argentina Red Wine,621005,8902625,FY2021Q3
Wine,Argentina Wine,Argentina Rose Wine,6854,79790,FY2020Q3
Wine,Argentina Wine,Argentina Rose Wine,11120,118008,FY2020Q4
Wine,Argentina Wine,Argentina Rose Wine,22254,263768,FY2021Q1
Wine,Argentina Wine,Argentina Rose Wine,24319,223838,FY2021Q2
Wine,Argentina Wine,Argentina Rose Wine,8502,79843,FY2021Q3
Wine,Argentina Wine,Argentina Sparkling Wine,455,8382,FY2020Q3
Wine,Argentina Wine,Argentina Sparkling Wine,436,8239,FY2020Q4
Wine,Argentina Wine,Argentina Sparkling Wine,189,3154,FY2021Q1
Wine,Argentina Wine,Argentina Sparkling Wine,382,5707,FY2021Q2
Wine,Argentina Wine,Argentina Sparkling Wine,842,12922,FY2021Q3
Wine,Argentina Wine,Argentina White Wine,43870,553431,FY2020Q3
Wine,Argentina Wine,Argentina White Wine,56899,612195,FY2020Q4
Wine,Argentina Wine,Argentina White Wine,52895,595728,FY2021Q1
Wine,Argentina Wine,Argentina White Wine,60315,625539,FY2021Q2
Wine,Argentina Wine,Argentina White Wine,50846,536169,FY2021Q3
Wine,Australia Wine,Australia Fruit and Dessert Wine,12,480,FY2020Q3
Wine,Australia Wine,Australia Fruit and Dessert Wine,0,0,FY2020Q4
Wine,Australia Wine,Australia Fruit and Dessert Wine,0,0,FY2021Q1
Wine,Australia Wine,Australia Fruit and Dessert Wine,0,0,FY2021Q2
Wine,Australia Wine,Australia Fruit and Dessert Wine,18,720,FY2021Q3
Wine,Australia Wine,Australia Red Wine,706264,9953309,FY2020Q3
Wine,Australia Wine,Australia Red Wine,588776,8192953,FY2020Q4
Wine,Australia Wine,Australia Red Wine,552405,7447302,FY2021Q1
Wine,Australia Wine,Australia Red Wine,562856,7751953,FY2021Q2
Wine,Australia Wine,Australia Red Wine,719297,10098009,FY2021Q3
Wine,Australia Wine,Australia Rose Wine,16251,200392,FY2020Q3
Wine,Australia Wine,Australia Rose Wine,16498,207497,FY2020Q4
Wine,Australia Wine,Australia Rose Wine,31472,393408,FY2021Q1
Wine,Australia Wine,Australia Rose Wine,31670,398287,FY2021Q2
Wine,Australia Wine,Australia Rose Wine,25062,311574,FY2021Q3
Wine,Australia Wine,Australia Sparkling Wine,98137,1231839,FY2020Q3
Wine,Australia Wine,Australia Sparkling Wine,46191,631776,FY2020Q4
Wine,Australia Wine,Australia Sparkling Wine,64155,874016,FY2021Q1
Wine,Australia Wine,Australia Sparkling Wine,59231,803613,FY2021Q2
Wine,Australia Wine,Australia Sparkling Wine,100439,1333311,FY2021Q3
Wine,Australia Wine,Australia White Wine,429497,4606191,FY2020Q3
Wine,Australia Wine,Australia White Wine,379635,4150298,FY2020Q4
Wine,Australia Wine,Australia White Wine,469331,5010074,FY2021Q1
Wine,Australia Wine,Australia White Wine,423052,4587940,FY2021Q2
Wine,Australia Wine,Australia White Wine,472331,4952902,FY2021Q3
Wine,Austria Wine,Austria Fruit and Dessert Wine,2,149,FY2020Q3
Wine,Austria Wine,Austria Fruit and Dessert Wine,0,0,FY2020Q4
Wine,Austria Wine,Austria Fruit and Dessert Wine,9,598,FY2021Q1
Wine,Austria Wine,Austria Fruit and Dessert Wine,2,149,FY2021Q2
Wine,Austria Wine,Austria Fruit and Dessert Wine,0,0,FY2021Q3
Wine,Austria Wine,Austria Red Wine,1340,39969,FY2020Q3
Wine,Austria Wine,Austria Red Wine,1015,31098,FY2020Q4
Wine,Austria Wine,Austria Red Wine,458,14292,FY2021Q1
