cat_type,category,subcategory
wine,Fortified Wine Other Fortified Domestic Wine,Fortified Wine Other Fortified Domestic Wine
wine,France Fruit and Dessert Wine,France Fruit and Dessert Wine
wine,France Red Wine,France Red Wine
wine,France Rose Wine,France Rose Wine
wine,France Sparkling Wine,France Sparkling Wine
wine,France White Wine,France White Wine
wine,France Wine France Champagne Wine,France Wine France Champagne Wine
wine,Georgia Rose Wine,Georgia Rose Wine
wine,Georgia Sparkling Wine,Georgia Sparkling Wine
wine,Georgia White Wine,Georgia White Wine
wine,Georgia Wine Georgia Red Wine,Georgia Wine Georgia Red Wine
wine,Germany Red Wine,Germany Red Wine
wine,Germany Rose Wine,Germany Rose Wine
wine,Germany Sparkling Wine,Germany Sparkling Wine
wine,Germany White Wine,Germany White Wine
wine,Germany Wine Germany Fruit and Dessert Wine,Germany Wine Germany Fruit and Dessert Wine
wine,Greece Red Wine,Greece Red Wine
wine,Greece Rose Wine,Greece Rose Wine
wine,Greece Sparkling Wine,Greece Sparkling Wine
wine,Greece White Wine,Greece White Wine
wine,Greece Wine Greece Fruit and Dessert Wine,Greece Wine Greece Fruit and Dessert Wine
wine,Hungary Red Wine,Hungary Red Wine
wine,Hungary Red Wine 909 958,Hungary Red Wine 909 958
wine,Hungary Rose Wine,Hungary Rose Wine
wine,Hungary White Wine,Hungary White Wine
wine,Hungary Wine Hungary Fruit and Dessert Wine,Hungary Wine Hungary Fruit and Dessert Wine
wine,Hungary Wine Hungary Sparkling Wine,Hungary Wine Hungary Sparkling Wine
wine,Israel Rose Wine,Israel Rose Wine
wine,Israel White Wine,Israel White Wine
wine,Israel Wine Israel Red Wine,Israel Wine Israel Red Wine
wine,Israel Wine Israel Red Wine 864,Israel Wine Israel Red Wine 864
wine,Italy Red Wine,Italy Red Wine
wine,Italy Rose Wine,Italy Rose Wine
wine,Italy Sparkling Wine,Italy Sparkling Wine
wine,Italy White Wine,Italy White Wine
wine,Italy Wine Italy Fruit and Dessert Wine,Italy Wine Italy Fruit and Dessert Wine
wine,New Zealand Red Wine,New Zealand Red Wine
wine,New Zealand Rose Wine,New Zealand Rose Wine
wine,New Zealand Sparkling Wine,New Zealand Sparkling Wine
wine,New Zealand White Wine,New Zealand White Wine
wine,New Zealand Wine New Zealand Fruit and Dessert Wine,New Zealand Wine New Zealand Fruit and Dessert Wine
wine,Other Country Red Wine,Other Country Red Wine
wine,Other Country Rose Wine,Other Country Rose Wine
wine,Other Country Sake,Other Country Sake
wine,Other Country Sparkling Wine,Other Country Sparkling Wine
wine,Other Country Sparkling Wine 664 937 853,Other Country Sparkling Wine 664 937 853
wine,Other Country White Wine,Other Country White Wine
wine,Other Country Wine Other Country Fruit and Dessert Wine,Other Country Wine Other Country Fruit and Dessert Wine
wine,Other Fortified Import Wine,Other Fortified Import Wine
wine,Other Style Wine Aperitif And Flavoured Wine,Other Style Wine Aperitif And Flavoured Wine
wine,Other Style Wine Mead,Other Style Wine Mead
wine,Portugal Red Wine,Portugal Red Wine
wine,Portugal Rose Wine,Portugal Rose Wine
wine,Portugal Sparkling Wine,Portugal Sparkling Wine
wine,Portugal White Wine,Portugal White Wine
wine,Portugal Wine Portugal Fruit and Dessert Wine,Portugal Wine Portugal Fruit and Dessert Wine
wine,Prosecco Wine,Prosecco Wine
wine,Rice Wine,Rice Wine
wine,Sake Japan Sake,Sake Japan Sake
wine,Sherry Wine,Sherry Wine
wine,South Africa Red Wine,South Africa Red Wine
wine,South Africa Rose Wine,South Africa Rose Wine
wine,South Africa Sparkling Wine,South Africa Sparkling Wine
wine,South Africa White Wine,South Africa White Wine
wine,South Africa Wine South Africa Fruit and Dessert Wine,South Africa Wine South Africa Fruit and Dessert Wine
wine,Spain Red Wine,Spain Red Wine
wine,Spain Rose Wine,Spain Rose Wine
wine,Spain Sparkling Wine,Spain Sparkling Wine
wine,Spain White Wine,Spain White Wine
