cat_type,category,subcategory,fy_qtr,litres,netsales
Spirits,Other Spirits,Ready to Mix Cocktails,FY2025Q2,28841,565754
Spirits,Other Spirits,Ready to Mix Cocktails,FY2025Q3,25584,517400
Spirits,Other Spirits,Ready to Serve Cocktails,FY2024Q3,61930,1628351
Spirits,Other Spirits,Ready to Serve Cocktails,FY2024Q4,59226,1338739
Spirits,Other Spirits,Ready to Serve Cocktails,FY2025Q1,121388,2305248
Spirits,Other Spirits,Ready to Serve Cocktails,FY2025Q2,124088,2376963
Spirits,Other Spirits,Ready to Serve Cocktails,FY2025Q3,63223,1596680
Spirits,Other Spirits,Schnapps and Akvavit,FY2024Q3,1242,50809
Spirits,Other Spirits,Schnapps and Akvavit,FY2024Q4,877,37444
Spirits,Other Spirits,Schnapps and Akvavit,FY2025Q1,874,36309
Spirits,Other Spirits,Schnapps and Akvavit,FY2025Q2,869,35714
Spirits,Other Spirits,Schnapps and Akvavit,FY2025Q3,1371,66876
Spirits,Rum,Amber Rum,FY2024Q3,273174,8587760
Spirits,Rum,Amber Rum,FY2024Q4,148687,4636073
Spirits,Rum,Amber Rum,FY2025Q1,176788,5551258
Spirits,Rum,Amber Rum,FY2025Q2,181273,5752952
Spirits,Rum,Amber Rum,FY2025Q3,245537,7839934
Spirits,Rum,Dark Rum,FY2024Q3,132072,3880574
Spirits,Rum,Dark Rum,FY2024Q4,85054,2409901
Spirits,Rum,Dark Rum,FY2025Q1,84682,2434481
Spirits,Rum,Dark Rum,FY2025Q2,80504,2347432
Spirits,Rum,Dark Rum,FY2025Q3,120453,3600906
Spirits,Rum,Flavoured Rum,FY2024Q3,14373,425712
Spirits,Rum,Flavoured Rum,FY2024Q4,12045,343742
Spirits,Rum,Flavoured Rum,FY2025Q1,14267,407629
Spirits,Rum,Flavoured Rum,FY2025Q2,15657,449130
Spirits,Rum,Flavoured Rum,FY2025Q3,14054,489524
Spirits,Rum,Spiced Rum,FY2024Q3,415689,12344985
Spirits,Rum,Spiced Rum,FY2024Q4,184954,5671746
Spirits,Rum,Spiced Rum,FY2025Q1,219930,6637788
Spirits,Rum,Spiced Rum,FY2025Q2,221764,6647524
Spirits,Rum,Spiced Rum,FY2025Q3,374126,10933386
Spirits,Rum,White Rum,FY2024Q3,309158,7497424
Spirits,Rum,White Rum,FY2024Q4,206580,5082366
Spirits,Rum,White Rum,FY2025Q1,278179,6853216
Spirits,Rum,White Rum,FY2025Q2,284130,7084473
Spirits,Rum,White Rum,FY2025Q3,289083,7149350
Spirits,Tequila,Blanco/Silver Tequila,FY2024Q3,174654,8899184
Spirits,Tequila,Blanco/Silver Tequila,FY2024Q4,148923,7356380
Spirits,Tequila,Blanco/Silver Tequila,FY2025Q1,210349,10322490
Spirits,Tequila,Blanco/Silver Tequila,FY2025Q2,244509,12061795
Spirits,Tequila,Blanco/Silver Tequila,FY2025Q3,176971,9103748
Spirits,Tequila,Flavoured Tequila,FY2024Q3,12890,801173
Spirits,Tequila,Flavoured Tequila,FY2024Q4,10364,542283
Spirits,Tequila,Flavoured Tequila,FY2025Q1,18072,994023
Spirits,Tequila,Flavoured Tequila,FY2025Q2,20366,1036314
Spirits,Tequila,Flavoured Tequila,FY2025Q3,17549,942166
Spirits,Tequila,Gold Tequila,FY2024Q3,192495,11005909
Spirits,Tequila,Gold Tequila,FY2024Q4,151754,8157166
Spirits,Tequila,Gold Tequila,FY2025Q1,221990,11452337
Spirits,Tequila,Gold Tequila,FY2025Q2,222106,11721646
Spirits,Tequila,Gold Tequila,FY2025Q3,194204,10829780
Spirits,Tequila,Mezcal,FY2024Q3,15564,1044944
Spirits,Tequila,Mezcal,FY2024Q4,14742,972308
Spirits,Tequila,Mezcal,FY2025Q1,16769,1130809
Spirits,Tequila,Mezcal,FY2025Q2,17782,1182362
Spirits,Tequila,Mezcal,FY2025Q3,14372,971853
Spirits,Vodka,Flavoured Vodka,FY2024Q3,167956,5332826
Spirits,Vodka,Flavoured Vodka,FY2024Q4,122220,3806181
Spirits,Vodka,Flavoured Vodka,FY2025Q1,145939,4612475
Spirits,Vodka,Flavoured Vodka,FY2025Q2,145974,4584868
Spirits,Vodka,Flavoured Vodka,FY2025Q3,133599,4217187
Spirits,Vodka,Straight Vodka,FY2024Q3,2262499,60330855
Spirits,Vodka,Straight Vodka,FY2024Q4,1848933,48859960
Spirits,Vodka,Straight Vodka,FY2025Q1,2068204,55318754
Spirits,Vodka,Straight Vodka,FY2025Q2,2121556,56901201
Spirits,Vodka,Straight Vodka,FY2025Q3,2242171,59952194
Spirits,Whisky,American Whiskey,FY2024Q3,88821,3882372
Spirits,Whisky,American Whiskey,FY2024Q4,65037,2607951
Spirits,Whisky,American Whiskey,FY2025Q1,73116,2920597
Spirits,Whisky,American Whiskey,FY2025Q2,69545,2752420
Spirits,Whisky,American Whiskey,FY2025Q3,89930,3861557
Spirits,Whisky,Blended Malt Scotch Whisky,FY2024Q3,5554,406663
Spirits,Whisky,Blended Malt Scotch Whisky,FY2024Q4,3309,221485
Spirits,Whisky,Blended Malt Scotch Whisky,FY2025Q1,3365,213457
Spirits,Whisky,Blended Malt Scotch Whisky,FY2025Q2,4379,247446
Spirits,Whisky,Blended Malt Scotch Whisky,FY2025Q3,5383,336337
Spirits,Whisky,Blended Scotch Whisky,FY2024Q3,262227,10068342
Spirits,Whisky,Blended Scotch Whisky,FY2024Q4,198001,6969087
Spirits,Whisky,Blended Scotch Whisky,FY2025Q1,220489,7800875
Spirits,Whisky,Blended Scotch Whisky,FY2025Q2,201197,7157899
Spirits,Whisky,Blended Scotch Whisky,FY2025Q3,246803,9410912
Spirits,Whisky,Bourbon Whiskey,FY2024Q3,171050,8285996
Spirits,Whisky,Bourbon Whiskey,FY2024Q4,119428,5418580
Spirits,Whisky,Bourbon Whiskey,FY2025Q1,136296,6313418
Spirits,Whisky,Bourbon Whiskey,FY2025Q2,124175,5702506
Spirits,Whisky,Bourbon Whiskey,FY2025Q3,182415,8862492
Spirits,Whisky,Canadian Whisky,FY2024Q3,1297095,35628433
